Close,Year-Month
23.159894943237305,2016-03
23.218772888183594,2016-03
23.685325622558594,2016-03
24.00013542175293,2016-03
23.961633682250977,2016-03
23.988813400268555,2016-03
23.986543655395508,2016-03
24.170001983642575,2016-03
24.0363712310791,2016-03
23.93218994140625,2016-03
23.8234806060791,2016-03
24.38741111755371,2016-03
24.813194274902344,2016-03
24.68410301208496,2016-03
24.910585403442383,2016-04
25.16651153564453,2016-04
24.86981773376465,2016-04
25.130273818969727,2016-04
24.58219337463379,2016-04
24.6093692779541,2016-04
24.690895080566406,2016-04
25.01250457763672,2016-04
25.37486267089844,2016-04
25.38846206665039,2016-04
24.87887382507324,2016-04
24.342121124267575,2016-04
24.213024139404297,2016-04
24.262849807739254,2016-04
24.00013542175293,2016-04
23.93445587158203,2016-04
23.79857063293457,2016-04
23.63323402404785,2016-04
22.154314041137695,2016-04
21.47713851928711,2016-04
21.23027610778809,2016-04
21.207632064819336,2016-05
21.55640411376953,2016-05
21.332191467285156,2016-05
21.245607376098633,2016-05
21.12712287902832,2016-05
21.143068313598633,2016-05
21.286624908447266,2016-05
21.079275131225582,2016-05
20.584819793701172,2016-05
20.625831604003903,2016-05
21.391437530517575,2016-05
21.302576065063477,2016-05
21.546384811401367,2016-05
21.464351654052734,2016-05
21.696767807006836,2016-05
21.97247886657715,2016-05
22.30743408203125,2016-05
22.69934844970703,2016-05
22.87936210632324,2016-05
22.86568832397461,2016-05
22.754037857055664,2016-05
22.435029983520508,2016-06
22.266414642333984,2016-06
22.311981201171875,2016-06
22.47377014160156,2016-06
22.564916610717773,2016-06
22.54440689086914,2016-06
22.70619201660156,2016-06
22.519346237182617,2016-06
22.179832458496097,2016-06
22.20718002319336,2016-06
22.134258270263672,2016-06
22.227684020996097,2016-06
21.721832275390625,2016-06
21.66942596435547,2016-06
21.85399627685547,2016-06
21.77196502685547,2016-06
21.897281646728516,2016-06
21.28206443786621,2016-06
20.97217559814453,2016-06
21.325359344482425,2016-06
21.509937286376953,2016-06
21.783355712890625,2016-06
21.84943962097168,2016-07
21.644365310668945,2016-07
21.767410278320312,2016-07
21.86082649230957,2016-07
22.029447555541992,2016-07
22.097801208496097,2016-07
22.19805908203125,2016-07
22.072738647460938,2016-07
22.510229110717773,2016-07
22.507946014404297,2016-07
22.7471981048584,2016-07
22.756317138671875,2016-07
22.77682876586914,2016-07
22.65605926513672,2016-07
22.480607986450195,2016-07
22.179832458496097,2016-07
22.027164459228516,2016-07
23.458120346069336,2016-07
23.774852752685547,2016-07
23.74522590637207,2016-07
24.164487838745117,2016-08
23.80674934387207,2016-08
24.105243682861328,2016-08
24.2541561126709,2016-08
24.62299919128418,2016-08
24.826892852783203,2016-08
24.927690505981445,2016-08
24.742122650146484,2016-08
24.726083755493164,2016-08
24.783361434936523,2016-08
25.08118057250977,2016-08
25.058273315429688,2016-08
25.021617889404297,2016-08
24.98954391479492,2016-08
25.053695678710938,2016-08
24.858964920043945,2016-08
24.93685531616211,2016-08
24.74899101257324,2016-08
24.643617630004883,2016-08
24.499282836914062,2016-08
24.4717960357666,2016-08
24.283939361572266,2016-08
24.306846618652344,2016-08
24.451171875,2016-09
24.680269241333008,2016-09
24.67339134216309,2016-09
24.824594497680664,2016-09
24.173973083496097,2016-09
23.626436233520508,2016-09
24.15564346313477,2016-09
24.73067092895508,2016-09
25.605812072753903,2016-09
26.476364135742188,2016-09
26.327449798583984,2016-09
26.02046775817871,2016-09
26.018177032470703,2016-09
26.013593673706055,2016-09
26.25872039794922,2016-09
25.82115364074707,2016-09
25.8601016998291,2016-09
25.908214569091797,2016-09
26.105234146118164,2016-09
25.69973945617676,2016-09
25.8990478515625,2016-09
25.77763557434082,2016-10
25.88759422302246,2016-10
25.8990478515625,2016-10
26.091482162475582,2016-10
26.13043212890625,2016-10
26.58633041381836,2016-10
26.64359664916992,2016-10
26.881855010986328,2016-10
26.799386978149418,2016-10
26.948301315307617,2016-10
26.92997169494629,2016-10
26.911643981933594,2016-10
26.83146095275879,2016-10
26.817710876464844,2016-10
26.712331771850582,2016-10
26.952882766723633,2016-10
27.090335845947266,2016-10
26.480941772460938,2016-10
26.226652145385746,2016-10
26.05253791809082,2016-10
26.011302947998047,2016-10
25.541656494140625,2016-11
25.564565658569336,2016-11
25.29054832458496,2016-11
25.062576293945312,2016-11
25.424102783203125,2016-11
25.57378387451172,2016-11
25.53233337402344,2016-11
24.82080078125,2016-11
24.96817398071289,2016-11
24.34183692932129,2016-11
24.664215087890625,2016-11
25.3273983001709,2016-11
25.31818389892578,2016-11
25.343517303466797,2016-11
25.72806167602539,2016-11
25.744178771972656,2016-11
25.61293029785156,2016-11
25.741878509521484,2016-11
25.691221237182617,2016-11
25.665891647338867,2016-11
25.449438095092773,2016-11
25.212257385253903,2016-12
25.30666732788086,2016-12
25.124757766723633,2016-12
25.31818389892578,2016-12
25.56687355041504,2016-12
25.817869186401367,2016-12
26.239269256591797,2016-12
26.0895938873291,2016-12
26.524797439575195,2016-12
26.524797439575195,2016-12
26.66987037658691,2016-12
26.70440673828125,2016-12
26.85868453979492,2016-12
26.930072784423828,2016-12
26.955400466918945,2016-12
26.778099060058594,2016-12
26.831052780151367,2016-12
27.001455307006836,2016-12
26.886320114135746,2016-12
26.87941551208496,2016-12
26.66987037658691,2016-12
26.745853424072266,2017-01
26.715919494628903,2017-01
26.85177993774414,2017-01
27.151134490966797,2017-01
27.399824142456055,2017-01
27.427459716796875,2017-01
27.5748291015625,2017-01
27.45969009399414,2017-01
27.411340713500977,2017-01
27.63239860534668,2017-01
27.63009452819824,2017-01
27.58173370361328,2017-01
27.63239860534668,2017-01
27.65081214904785,2017-01
27.62548828125,2017-01
28.065298080444336,2017-01
28.07912254333496,2017-01
28.081422805786133,2017-01
28.007734298706055,2017-01
27.94325828552246,2017-01
29.647253036499023,2017-02
29.596599578857425,2017-02
29.723243713378903,2017-02
30.001867294311523,2017-02
30.28741455078125,2017-02
30.404855728149418,2017-02
30.62455177307129,2017-02
30.555173873901367,2017-02
30.825754165649418,2017-02
31.225845336914062,2017-02
31.33917236328125,2017-02
31.30217170715332,2017-02
31.38773536682129,2017-02
31.614391326904297,2017-02
31.709211349487305,2017-02
31.575071334838867,2017-02
31.605133056640625,2017-02
31.66757583618164,2017-02
31.68145179748535,2017-02
32.32899475097656,2017-03
32.137046813964844,2017-03
32.32667922973633,2017-03
32.22493362426758,2017-03
32.26656723022461,2017-03
32.14630126953125,2017-03
32.0722770690918,2017-03
32.178680419921875,2017-03
32.19255447387695,2017-03
32.143985748291016,2017-03
32.48394775390625,2017-03
32.53713607788086,2017-03
32.37526321411133,2017-03
32.71522521972656,2017-03
32.3405647277832,2017-03
32.70596694946289,2017-03
32.59033203125,2017-03
32.52558898925781,2017-03
32.58108901977539,2017-03
33.25638961791992,2017-03
33.33039093017578,2017-03
33.28645324707031,2017-03
33.22400665283203,2017-03
33.23326110839844,2017-04
33.480712890625,2017-04
33.307254791259766,2017-04
33.22400665283203,2017-04
33.150001525878906,2017-04
33.11068344116211,2017-04
32.7545280456543,2017-04
32.79383087158203,2017-04
32.62040328979492,2017-04
32.80078125,2017-04
32.65507888793945,2017-04
32.53483963012695,2017-04
32.941856384277344,2017-04
32.902549743652344,2017-04
33.21937942504883,2017-04
33.42520523071289,2017-04
33.22862243652344,2017-04
33.25407791137695,2017-04
33.22168731689453,2017-04
33.899314880371094,2017-05
34.11438751220703,2017-05
34.01032257080078,2017-05
33.88774108886719,2017-05
34.44972229003906,2017-05
35.38637161254883,2017-05
35.613006591796875,2017-05
35.44418716430664,2017-05
35.75071334838867,2017-05
36.250003814697266,2017-05
36.15709686279297,2017-05
36.10369491577149,2017-05
34.8914909362793,2017-05
35.42327880859375,2017-05
35.54403305053711,2017-05
35.760013580322266,2017-05
35.71587371826172,2017-05
35.60905075073242,2017-05
35.73212814331055,2017-05
35.671756744384766,2017-05
35.68567657470703,2017-05
35.4743766784668,2017-05
35.5718994140625,2017-06
36.09904479980469,2017-06
35.746063232421875,2017-06
35.86684036254883,2017-06
36.08046340942383,2017-06
35.992225646972656,2017-06
34.5965690612793,2017-06
33.769859313964844,2017-06
34.04155349731445,2017-06
33.70948028564453,2017-06
33.50743865966797,2017-06
33.03837585449219,2017-06
33.98350143432617,2017-06
33.67463684082031,2017-06
