,Year-Month,Close(Average),Avg Monthly Returns
0,2016-03,23.98913369859968,
1,2016-04,24.174308050246463,0.771909290153272
2,2016-05,21.622306914556596,-10.55666673224117
3,2016-06,22.016291184858844,1.822119498438024
4,2016-07,22.457023525238036,2.0018464357988375
5,2016-08,24.648451846578848,9.758320459868619
6,2016-09,25.396677471342542,3.0355887234660095
7,2016-10,26.50778261820475,4.375001998257333
8,2016-11,25.35272825331915,-4.35741601446642
9,2016-12,26.328081675938197,3.847133976562689
10,2017-01,27.533379650115968,4.577993904050048
11,2017-02,30.88286701001619,12.165187864563931
12,2017-03,32.520451089610226,5.3025649434131905
13,2017-04,33.04519793861791,1.6135903144816277
14,2017-05,35.298829165371984,6.819844840815414
15,2017-06,34.32982808893377,-2.745136593337205
16,2017-07,34.43853988647461,0.31666863364188114
17,2017-08,37.02982529349949,7.524376514123321
18,2017-09,36.74403247833252,-0.7717908818142383
19,2017-10,36.79270432212136,0.1324619006298322
20,2017-11,40.290144784109934,9.505798843619552
21,2017-12,40.21795768737793,-0.17916812441058916
22,2018-01,40.71251442318871,1.229691322605353
23,2018-02,39.33456902754934,-3.3845745347885647
24,2018-03,40.993840898786274,4.218355284571196
25,2018-04,39.89863513764881,-2.6716349020369345
26,2018-05,43.69574598832564,9.516894093186234
27,2018-06,44.48311070033482,1.801925322935416
28,2018-07,44.88167027064732,0.8959795392850189
29,2018-08,50.43834022853685,12.380711155314561
30,2018-09,52.5559236626876,4.198360660870182
31,2018-10,52.26529859459919,-0.5529825143093081
32,2018-11,45.37463578723726,-13.18401117500546
33,2018-12,39.01088413439299,-14.024909605190118
34,2019-01,36.612249101911274,-6.148630275126255
35,2019-02,40.91186362818668,11.743650367687874
36,2019-03,43.71632966541109,6.854896816023404
37,2019-04,47.82394045875186,9.396055947008675
38,2019-05,45.734846115112305,-4.3683024100479635
39,2019-06,46.20114002227783,1.0195593661600943
40,2019-07,49.13343533602628,6.346802941084384
41,2019-08,49.20812138644132,0.15200657129763595
42,2019-09,52.391236305236816,6.468677992800931
43,2019-10,56.54694681582244,7.932071857159495
44,2019-11,63.24449710845947,11.844229741441993
45,2019-12,66.65757733299618,5.396643788128386
46,2020-01,75.18858628045945,12.798258335801126
47,2020-02,75.17265841835423,-0.021183882944419974
48,2020-03,63.413294011896305,-15.643140277165912
49,2020-04,65.81556447347005,3.788275785079187
50,2020-05,75.05474853515625,14.03799258670868
51,2020-06,83.78196092085405,11.627795117599927
52,2020-07,92.6151632829146,10.543083815387156
53,2020-08,113.84568060012091,22.923370822499933
54,2020-09,111.77132997058686,-1.822072316313994
55,2020-10,113.02175313776188,1.1187333706274005
56,2020-11,113.58027000427246,0.4941675836772852
57,2020-12,123.795353976163,8.99371340771269
58,2021-01,129.3839605231034,4.5143911846776685
59,2021-02,128.06982943886206,-1.0156831487676543
60,2021-03,118.70210664168648,-7.314543041261357
61,2021-04,128.385138738723,8.157422282542681
62,2021-05,123.65393524169922,-3.685164454004497
63,2021-06,126.79413708773528,2.5395082169427763
64,2021-07,141.6053750174386,11.681327125918028
65,2021-08,144.74720348011363,2.2187211906949944
66,2021-09,144.91171555292038,0.11365475038649375
67,2021-10,142.23210943312873,-1.849130078660266
68,2021-11,150.90420968191964,6.097146617141425
69,2021-12,169.82790166681465,12.540201512458093
70,2022-01,166.21590194702148,-2.1268588284624523
71,2022-02,166.3624637001439,0.0881755303828502
72,2022-03,161.96860338293988,-2.641136840293279
73,2022-04,163.44863052368163,0.9137740956144169
74,2022-05,145.59966823032923,-10.920227496654554
