Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-03-11 00:00:00-05:00,23.155364365895892,23.164423792669737,22.987769290352173,23.159894943237305,109632800,0.0,0.0
2016-03-14 00:00:00-04:00,23.080621415768526,23.307101845425798,23.05117785405161,23.218772888183594,100304400,0.0,0.0
2016-03-15 00:00:00-04:00,23.544907123012198,23.821213545524536,23.519994135545762,23.685325622558594,160270800,0.0,0.0
2016-03-16 00:00:00-04:00,23.692121847664875,24.077137951320523,23.68759127068511,24.00013542175293,153214000,0.0,0.0
2016-03-17 00:00:00-04:00,23.89821770115253,24.11337517779888,23.771389194773242,23.961633682250977,137682800,0.0,0.0
2016-03-18 00:00:00-04:00,24.083934792616137,24.120172500887048,23.82348360803238,23.988813400268555,176820800,0.0,0.0
2016-03-21 00:00:00-04:00,23.991072503807256,24.38061912774425,23.812152753142776,23.986543655395508,142010800,0.0,0.0
2016-03-22 00:00:00-04:00,23.83707533433648,24.2990958141991,23.828015905957688,24.170001983642578,129777600,0.0,0.0
2016-03-23 00:00:00-04:00,24.115640776494775,24.249263422019336,23.98428169153553,24.0363712310791,102814000,0.0,0.0
2016-03-24 00:00:00-04:00,23.88689454028983,24.063549023716174,23.755535457979903,23.93218994140625,104532000,0.0,0.0
2016-03-28 00:00:00-04:00,24.006929229334705,24.04996107050679,23.79403703984186,23.8234806060791,77645600,0.0,0.0
2016-03-29 00:00:00-04:00,23.755530553359044,24.412324101396788,23.75326526539828,24.38741111755371,124760400,0.0,0.0
2016-03-30 00:00:00-04:00,24.60709799110982,25.007967574434186,24.595773278940666,24.813194274902344,182404400,0.0,0.0
2016-03-31 00:00:00-04:00,24.849434495844047,24.890201044722406,24.659190025108817,24.68410301208496,103553600,0.0,0.0
2016-04-01 00:00:00-04:00,24.636544253180922,24.912850691865195,24.50518517119843,24.910585403442383,103496000,0.0,0.0
2016-04-04 00:00:00-04:00,25.007974163050374,25.408845579897044,24.97400174550099,25.16651153564453,149424800,0.0,0.0
2016-04-05 00:00:00-04:00,24.80187463531264,25.078181061580132,24.781490496240938,24.86981773376465,106314800,0.0,0.0
2016-04-06 00:00:00-04:00,24.964944036425578,25.134804396192514,24.73166769090215,25.130273818969727,105616400,0.0,0.0
2016-04-07 00:00:00-04:00,24.90152997718862,25.007976087343256,24.487071980503337,24.58219337463379,127207600,0.0,0.0
2016-04-08 00:00:00-04:00,24.66598939678476,24.86076101588604,24.4983926009516,24.6093692779541,94326800,0.0,0.0
2016-04-11 00:00:00-04:00,24.679572096104007,25.050999853477524,24.64786497495567,24.690895080566406,117630000,0.0,0.0
2016-04-12 00:00:00-04:00,24.763374669167092,25.026092853404545,24.609369602707936,25.01250457763672,108929200,0.0,0.0
2016-04-13 00:00:00-04:00,25.09402747589445,25.44280574999664,25.09402747589445,25.374862670898438,133029200,0.0,0.0
2016-04-14 00:00:00-04:00,25.27975240129216,25.4541416147626,25.21407285317995,25.38846206665039,101895600,0.0,0.0
2016-04-15 00:00:00-04:00,25.39072005878002,25.433751891568942,24.851697280497905,24.878873825073242,187756000,0.0,0.0
2016-04-18 00:00:00-04:00,24.661457681218543,24.675045956179787,24.219821465889925,24.342121124267578,243286000,0.0,0.0
2016-04-19 00:00:00-04:00,24.432708709948805,24.45988698420057,24.059017374461504,24.213024139404297,129539600,0.0,0.0
2016-04-20 00:00:00-04:00,24.151874871871108,24.48027083078875,24.020515797140575,24.262849807739258,122444000,0.0,0.0
2016-04-21 00:00:00-04:00,24.217556463242936,24.217556463242936,23.89821817461431,24.00013542175293,126210000,0.0,0.0
2016-04-22 00:00:00-04:00,23.782714373073755,24.115640936723352,23.69438712899229,23.93445587158203,134732400,0.0,0.0
2016-04-25 00:00:00-04:00,23.780451778785896,23.927664444903044,23.669476820966093,23.79857063293457,112126400,0.0,0.0
